species,pathways,genes,enzymes,metabolites,conversions,catalysis,publications
Flaveria bidentis,2,0,2,4,4,4,78
Lavandula,2,0,0,0,0,0,20
Sorbus aucuparia,2,5,6,6,4,5,16
Fragaria,2,1,1,4,2,2,12
Rheum palmatum,2,0,2,0,0,0,22
Barnadesia spinosa,2,1,1,4,6,6,12
Actinidia deliciosa,2,2,2,4,2,2,9
Saussurea medusa,2,1,1,6,3,3,28
Melilotus albus,2,0,5,7,5,5,16
Nicotiana glutinosa,2,0,1,3,4,4,32
Senecio vulgaris,1,1,1,2,1,1,4
Trifolium incarnatum,1,0,2,3,2,2,5
Punica granatum,1,1,1,2,1,2,2
Vernicia fordii,1,1,1,2,1,1,2
Pinus contorta,1,1,1,2,1,1,20
Solidago canadensis,1,2,2,3,2,2,17
Saccharopolyspora erythraea NRRL 2338,1,0,0,0,0,0,2
Nerine bowdenii,1,0,2,3,2,2,23
Pinus banksiana,1,0,1,2,1,1,20
Dryopteris crassirhizoma,1,1,1,2,1,1,2
Prunus dulcis,1,4,4,3,2,4,6
Brachypodium distachyon,1,1,1,2,1,1,64
Crepis alpina,1,1,1,2,1,1,1
Batis maritima,1,1,1,4,3,3,8
Senecio vernalis,1,1,1,2,1,1,4
Rosa,1,0,1,2,1,1,4
Tanacetum cinerariifolium,1,1,1,2,1,1,5
Euonymus alatus,1,0,2,2,1,2,10
Auxenochlorella pyrenoidosa,1,0,1,2,1,1,3
Rosa multiflora,1,0,3,4,3,3,9
Camellia sinensis var. assamica,1,0,1,5,3,3,21
Borago officinalis,1,1,1,2,1,1,4
Lupinus,1,0,1,2,1,1,7
Pteris vittata,1,1,1,2,1,1,14
Prunus mume,1,0,1,2,1,1,6
Beta vulgaris subsp. vulgaris,1,0,1,2,1,1,5
Digitalis purpurea,1,0,1,2,1,1,4
Glebionis coronaria,1,0,0,0,0,0,2
Glycyrrhiza uralensis,1,2,2,8,8,8,24
Bromus inermis,1,0,1,2,1,1,5
Astragalus mongholicus,1,1,1,2,1,1,15
Santalum spicatum,1,1,1,2,1,1,10
Citrus sinensis,1,1,1,2,1,1,5
Phaseolus lunatus,1,1,1,4,2,2,13
Taxus brevifolia,1,1,1,2,1,1,32
Hydrangea macrophylla,1,1,1,2,1,1,22
Cryptomeria japonica,1,0,1,2,1,1,24
Actinidia eriantha,1,1,1,2,1,1,9
Taxus chinensis,1,1,1,2,1,1,32
Canavalia ensiformis,1,0,1,2,1,1,5
Diospyros kaki,1,0,1,2,1,1,12
Pseudotsuga menziesii,1,1,1,2,1,1,23
Thalictrum,1,0,2,3,2,2,16
Narcissus aff. pseudonarcissus MK-2014,1,2,2,5,4,4,23
Capsicum frutescens,1,1,1,2,1,1,17
Pinus densiflora,1,0,2,0,0,0,16
Coriandrum sativum,1,1,2,0,2,2,2
Viburnum furcatum,1,1,1,2,1,1,6
Sesbania rostrata,1,1,1,2,1,1,58
Juglans regia,1,0,1,2,1,1,9
Phleum pratense,1,1,1,2,1,1,5
Thunbergia alata,1,1,1,0,1,1,1
Vicia sativa subsp. nigra,1,1,1,2,1,1,11
Citrus junos,1,1,1,2,1,1,23
Dimorphotheca sinuata,1,2,2,3,2,2,6
Leucaena leucocephala,1,0,1,0,0,0,5
