inchikey,label,n_pw,skeleton,skeleton_match_n,skeleton_match_qid,skeleton_match_ik
OLBLWNPOURNBCY-MRBLLYQQSA-N,cyanidin 5-O-β-D-glucoside 3-O-β-D-sambubioside,1,OLBLWNPOURNBCY,4,Q105193889; Q110183790; Q23419061; Q63398355,OLBLWNPOURNBCY-MRBLLYQQSA-O; OLBLWNPOURNBCY-OIZSHMMZSA-O; OLBLWNPOURNBCY-QFEPKXLGSA-O; OLBLWNPOURNBCY-UHFFFAOYSA-O
XGQPXBKBCOHIQI-YONICNLVSA-N,cyanidin 3-O-β-D-(caffeoyl)-sambubioside,1,XGQPXBKBCOHIQI,4,Q110080708; Q123340362; Q123340412; Q125618136,XGQPXBKBCOHIQI-GCNWMLFFSA-O; XGQPXBKBCOHIQI-UHFFFAOYSA-O; XGQPXBKBCOHIQI-YONICNLVSA-O
NTWLPZMPTFQYQI-PXOHOISBSA-N,24-hydroxy-β-amyrin,1,NTWLPZMPTFQYQI,4,Q105185707; Q105185708; Q105185709; Q27131922,NTWLPZMPTFQYQI-FLZFTVBESA-N; NTWLPZMPTFQYQI-OSKQWRSTSA-N; NTWLPZMPTFQYQI-UHFFFAOYSA-N; NTWLPZMPTFQYQI-XLNSUYCMSA-N
ZGHRCSAIMSBFLK-IQSISOBESA-M,7'-hydroxyabscisate,1,ZGHRCSAIMSBFLK,4,Q104376106; Q105375203; Q110185001; Q27109354,ZGHRCSAIMSBFLK-IGTFLHFFSA-N; ZGHRCSAIMSBFLK-IQSISOBESA-N; ZGHRCSAIMSBFLK-UHFFFAOYSA-N; ZGHRCSAIMSBFLK-UMCKCUICSA-N
BKKGUKSHPCTUGE-OOHFSOINSA-M,"(9Z,15Z)-12,13-epoxy-octadeca-9,15-dienoate",1,BKKGUKSHPCTUGE,4,Q27160340; Q27451595; Q27451599; Q82006453,BKKGUKSHPCTUGE-OOHFSOINSA-N; BKKGUKSHPCTUGE-UHFFFAOYSA-N; BKKGUKSHPCTUGE-WXDGQRKDSA-N; BKKGUKSHPCTUGE-ZQCGFPFMSA-N
BQPYEFAVIPEQIK-AGCVEWRESA-L,"oleanolate 3-beta-D-glucuronoside-(3,1)-galactoside",1,BQPYEFAVIPEQIK,4,Q104944505; Q104944506; Q27108321; Q27269728,BQPYEFAVIPEQIK-AGCVEWRESA-N; BQPYEFAVIPEQIK-CGCSGISQSA-N; BQPYEFAVIPEQIK-CKXSKKTQSA-N; BQPYEFAVIPEQIK-UHFFFAOYSA-N
CWOJBEDMJKZKAB-URUUWQEUSA-M,8-(methylsulfanyl)octyl-glucosinolate,1,CWOJBEDMJKZKAB,4,Q104971437; Q110078073; Q27154958; Q63392450,CWOJBEDMJKZKAB-JTAHTJANSA-N; CWOJBEDMJKZKAB-JZYAIQKZSA-N; CWOJBEDMJKZKAB-STPBKMPXSA-N; CWOJBEDMJKZKAB-UHFFFAOYSA-N
YXWQTVWJNHKSCC-INIZCTEOSA-O,(S)-tetrahydropapaverine,1,YXWQTVWJNHKSCC,4,Q110079296; Q27464875; Q27465279; Q74417924,YXWQTVWJNHKSCC-INIZCTEOSA-N; YXWQTVWJNHKSCC-MRXNPFEDSA-N; YXWQTVWJNHKSCC-MRXNPFEDSA-O; YXWQTVWJNHKSCC-UHFFFAOYSA-N
XCHARIIIZLLEBL-HXZZEOLJSA-L,medicagenate-28-O-β-D-glucoside,1,XCHARIIIZLLEBL,4,Q104401828; Q105325057; Q105325061; Q82946392,XCHARIIIZLLEBL-DSIYLKOUSA-N; XCHARIIIZLLEBL-GHKSOYFMSA-N; XCHARIIIZLLEBL-HXZZEOLJSA-N; XCHARIIIZLLEBL-UHFFFAOYSA-N
ZAKICGFSIJSCSF-RFEZBLSLSA-M,6-(methylsulfanyl)hexyl-glucosinolate,1,ZAKICGFSIJSCSF,4,Q105369919; Q105369920; Q105369921; Q27154956,ZAKICGFSIJSCSF-BXLHIMNRSA-N; ZAKICGFSIJSCSF-LKQOQWEASA-N; ZAKICGFSIJSCSF-LPUQOGTASA-N; ZAKICGFSIJSCSF-UHFFFAOYSA-N
OISFHODBOQNZAG-UHFFFAOYSA-M,"9,10,18-trihydroxystearate",1,OISFHODBOQNZAG,4,Q105192731; Q120204950; Q27287861; Q53679584,OISFHODBOQNZAG-DLBZAZTESA-N; OISFHODBOQNZAG-IAGOWNOFSA-N; OISFHODBOQNZAG-SJORKVTESA-N; OISFHODBOQNZAG-UHFFFAOYSA-N
JALVTHFTYRPDMB-NMZJTGJESA-O,demissidine,1,JALVTHFTYRPDMB,4,Q105123837; Q27291814; Q82881583; Q83065164,JALVTHFTYRPDMB-HRRTYWNUSA-N; JALVTHFTYRPDMB-IKSKCRHHSA-N; JALVTHFTYRPDMB-OFMODGJOSA-N; JALVTHFTYRPDMB-UHFFFAOYSA-N
ARGKVCXINMKCAZ-VMUFPGRYSA-N,neohesperidin,1,ARGKVCXINMKCAZ,4,Q104390645; Q104917304; Q104917305; Q18609455,ARGKVCXINMKCAZ-HAXTVYHKSA-N; ARGKVCXINMKCAZ-NRRCNVALSA-N; ARGKVCXINMKCAZ-UHFFFAOYSA-N; ARGKVCXINMKCAZ-UZRWAPQLSA-N
KGPAYJZAMGEDIQ-KRWDZBQOSA-O,(S)-laudanosine,1,KGPAYJZAMGEDIQ,4,Q105140900; Q27163429; Q408074; Q74410594,KGPAYJZAMGEDIQ-KRWDZBQOSA-N; KGPAYJZAMGEDIQ-QGZVFWFLSA-N; KGPAYJZAMGEDIQ-QGZVFWFLSA-O; KGPAYJZAMGEDIQ-UHFFFAOYSA-N
RLMLFADXHJLPSQ-MJQYLNDYSA-N,aureobasidin A,1,RLMLFADXHJLPSQ,4,Q105240267; Q105240270; Q105240279; Q27292033,RLMLFADXHJLPSQ-GSTKUCBPSA-N; RLMLFADXHJLPSQ-NPPFTVEMSA-N; RLMLFADXHJLPSQ-QKCBWMAHSA-N; RLMLFADXHJLPSQ-QLLGQPFOSA-N
RPMNUQRUHXIGHK-PYXJVEIZSA-M,apigenin 7-O-neohesperidoside,1,RPMNUQRUHXIGHK,4,Q104246960; Q105242783; Q105242790; Q3429675,RPMNUQRUHXIGHK-FLPYCHHVSA-N; RPMNUQRUHXIGHK-PYXJVEIZSA-N; RPMNUQRUHXIGHK-SBDOOABHSA-N; RPMNUQRUHXIGHK-UHFFFAOYSA-N
UYDZYCPIQSRXKU-NPPUSCPJSA-M,hypoglycin B,1,UYDZYCPIQSRXKU,4,Q104251457; Q105281343; Q106026352; Q5959638,UYDZYCPIQSRXKU-CIUDSAMLSA-N; UYDZYCPIQSRXKU-NPPUSCPJSA-N; UYDZYCPIQSRXKU-UHFFFAOYSA-N; UYDZYCPIQSRXKU-VGMNWLOBSA-N
OOGAQHVYHLPICD-YFJRXZMFSA-M,6-(methylsulfinyl)hexyl-glucosinolate,1,OOGAQHVYHLPICD,4,Q105195357; Q105195358; Q105195360; Q59571080,OOGAQHVYHLPICD-DNDZILKHSA-N; OOGAQHVYHLPICD-OLFWOTHJSA-N; OOGAQHVYHLPICD-UHFFFAOYSA-N; OOGAQHVYHLPICD-ZHOAWAJGSA-N
DBFXNHHIIKEXPP-JOJUGDBLSA-L,gibberellin A₉₇,1,DBFXNHHIIKEXPP,4,Q104974360; Q104974363; Q110079996; Q76513287,DBFXNHHIIKEXPP-FHVNKMPESA-N; DBFXNHHIIKEXPP-JOJUGDBLSA-N; DBFXNHHIIKEXPP-MTZOQMARSA-N; DBFXNHHIIKEXPP-UHFFFAOYSA-N
HIOAYNMZFIHQNS-GLLFFQQYSA-N,norajmaline,1,HIOAYNMZFIHQNS,4,Q104249855; Q110204202; Q27107543; Q27147216,HIOAYNMZFIHQNS-DEKAJGEMSA-N; HIOAYNMZFIHQNS-OPMBYYGKSA-N; HIOAYNMZFIHQNS-UHFFFAOYSA-N; HIOAYNMZFIHQNS-WGSNPMNHSA-O
HITLMPHPGUZLGI-BEUDHSEDSA-L,kauralexin A2,1,HITLMPHPGUZLGI,4,Q105029015; Q105029016; Q105029017; Q105029018,HITLMPHPGUZLGI-FDBLAFQCSA-N; HITLMPHPGUZLGI-HLLQXRNWSA-N; HITLMPHPGUZLGI-UHFFFAOYSA-N; HITLMPHPGUZLGI-WXTRFUDFSA-N
VYKLRWGPNUVKNC-AATRIKPKSA-N,"5,6-epoxy-3-hydroxy-9-apo-β-caroten-9-one",1,VYKLRWGPNUVKNC,4,Q105299046; Q105299048; Q105299049; Q27138117,VYKLRWGPNUVKNC-BJEXPOHKSA-N; VYKLRWGPNUVKNC-HNSJSBKASA-N; VYKLRWGPNUVKNC-IRIVYCKASA-N; VYKLRWGPNUVKNC-UHFFFAOYSA-N
WVWINZZVFAFVMJ-HZDSJJKASA-N,1-16:0-2-18:3-digalactosyldiacylglycerol,1,WVWINZZVFAFVMJ,4,Q105313833; Q105313834; Q105313835; Q110178928,WVWINZZVFAFVMJ-GDVDIDQFSA-N; WVWINZZVFAFVMJ-ITLSJTBUSA-N; WVWINZZVFAFVMJ-NUXDFMRESA-N; WVWINZZVFAFVMJ-UHFFFAOYSA-N
BKBYHSYZKIAJDA-LPEMZMRWSA-M,gibberellin A₂₉,1,BKBYHSYZKIAJDA,4,Q104937493; Q104937497; Q105100791; Q27103470,BKBYHSYZKIAJDA-FAGRHRLBSA-N; BKBYHSYZKIAJDA-QITPSVHSSA-N; BKBYHSYZKIAJDA-UHFFFAOYSA-N; BKBYHSYZKIAJDA-WWSAFQOPSA-N
