"pwID","title"
"http://rdf-plantmetwiki.bioinformatics.nl/pathways/PC122","indole glucosinolate activation (herbivore attack)"
"http://rdf-plantmetwiki.bioinformatics.nl/pathways/PC123","theobromine biosynthesis I"
"http://rdf-plantmetwiki.bioinformatics.nl/pathways/PC124","pentagalloylglucose biosynthesis"
"http://rdf-plantmetwiki.bioinformatics.nl/pathways/PC125","pyrimidine deoxyribonucleotides de novo biosynthesis I"
"http://rdf-plantmetwiki.bioinformatics.nl/pathways/PC126","furcatin degradation"
"http://rdf-plantmetwiki.bioinformatics.nl/pathways/PC127","pinolenate and coniferonate biosynthesis"
"http://rdf-plantmetwiki.bioinformatics.nl/pathways/PC128","L-arginine degradation I (arginase pathway)"
"http://rdf-plantmetwiki.bioinformatics.nl/pathways/PC129","linamarin degradation"
"http://rdf-plantmetwiki.bioinformatics.nl/pathways/PC13","choline degradation I"
"http://rdf-plantmetwiki.bioinformatics.nl/pathways/PC130","prunasin and amygdalin biosynthesis"
"http://rdf-plantmetwiki.bioinformatics.nl/pathways/PC131","serinol biosynthesis"
"http://rdf-plantmetwiki.bioinformatics.nl/pathways/PC132","S-methyl-L-methionine cycle"
"http://rdf-plantmetwiki.bioinformatics.nl/pathways/PC133","dehydroabietic acid biosynthesis"
"http://rdf-plantmetwiki.bioinformatics.nl/pathways/PC134","caffeine degradation II"
"http://rdf-plantmetwiki.bioinformatics.nl/pathways/PC135","phytochromobilin biosynthesis"
"http://rdf-plantmetwiki.bioinformatics.nl/pathways/PC136","hydroxycinnamic acid serotonin amides biosynthesis"
"http://rdf-plantmetwiki.bioinformatics.nl/pathways/PC137","phosphate acquisition"
"http://rdf-plantmetwiki.bioinformatics.nl/pathways/PC138","phosphopantothenate biosynthesis I"
"http://rdf-plantmetwiki.bioinformatics.nl/pathways/PC139","isoprene biosynthesis II (engineered)"
"http://rdf-plantmetwiki.bioinformatics.nl/pathways/PC14","kaempferol glycoside biosynthesis (Arabidopsis)"
"http://rdf-plantmetwiki.bioinformatics.nl/pathways/PC140","violdelphin biosynthesis"
