"species","pathways","genes","enzymes","metabolites","conversions","interactions","publications"
"Populus tremula x Populus tremuloides","2","10","12","20","21","55","16"
"Cleretum bellidiforme","2","7","10","51","83","175","29"
"Gemmata obscuriglobus","2","11","11","11","9","41","18"
"Vigna aconitifolia","2","2","2","16","17","35","21"
"Neurospora crassa","2","8","11","12","8","32","29"
"Flaveria chlorifolia","2","112","130","83","156","623","78"
"Pantoea agglomerans","2","27","32","31","33","154","35"
"Vanilla planifolia","2","34","37","16","10","88","14"
"Tetradesmus obliquus","2","6","32","11","22","90","48"
"Sorbus aucuparia","2","7","8","17","17","41","16"
"Digitalis purpurea","2","3","8","40","76","122","10"
"Coptis chinensis","2","11","12","21","22","81","18"
"Citrus x aurantium","2","2","5","15","20","43","28"
"Tellima grandiflora","2","1","15","30","34","99","18"
"Croton stellatopilosus","2","31","42","22","18","120","42"
"Sporobolus alterniflorus","2","3","6","32","23","57","33"
"Nicotiana glutinosa","2","8","9","17","23","71","32"
"Leucaena leucocephala","2","0","2","13","9","32","5"
"Cinchona","2","0","2","32","32","42","4"
"Silene latifolia","2","0","6","29","36","60","11"
"Persicaria tinctoria","2","0","1","12","13","22","4"
"Strobilanthes cusia","2","0","1","12","13","22","4"
"Thalictrum flavum","2","13","16","41","31","113","44"
"Rhizophora stylosa","2","29","29","7","7","94","24"
"Impatiens balsamina","2","3","3","7","4","13","2"
"Stigmatella aurantiaca","2","17","17","11","9","53","23"
"Kandelia candel","2","29","29","7","7","94","24"
"Rhodotorula glutinis","2","35","39","38","45","185","54"
"Zingiber zerumbet","2","9","9","13","14","40","22"
"Berberis stolonifera","2","11","13","36","32","102","37"
"Santalum album","2","10","14","7","12","46","11"
"Gerbera hybrid cultivar","2","16","22","30","55","159","43"
"Centaurium erythraea","2","0","8","23","45","104","17"
"Rheum palmatum","2","0","3","16","14","26","22"
"Nerine bowdenii","1","12","15","43","76","150","23"
"Rosales","1","11","11","14","17","49","8"
"Viburnum furcatum","1","1","1","8","2","9","6"
"Panicum miliaceum","1","28","42","22","30","131","35"
"Lupinus termis","1","1","6","19","10","28","7"
"Galanthus elwesii","1","12","15","43","76","150","23"
"Batis maritima","1","2","3","8","6","18","8"
"Pinus ponderosa","1","1","2","4","2","6","6"
"Forsythia x intermedia","1","1","5","19","28","51","20"
"Narcissus aff. pseudonarcissus MK-2014","1","12","15","43","76","150","23"
"Lupinus polyphyllus","1","1","6","19","10","28","7"
"Avena clauda","1","27","27","3","2","56","18"
"Delftia acidovorans","1","1","2","10","6","15","9"
"Avena prostrata","1","27","27","3","2","56","18"
"Nicotiana plumbaginifolia","1","6","7","9","12","39","9"
"Pinus sabiniana","1","1","2","4","2","6","6"
"Actinidia eriantha","1","5","5","20","14","36","9"
"Avena longiglumis","1","27","27","3","2","56","18"
"Lilium longiflorum","1","6","9","16","10","39","14"
"Forsythia koreana","1","3","3","6","6","14","16"
"Thuja plicata","1","1","5","19","28","51","20"
"Streptococcus mutans","1","17","48","49","29","209","41"
"Tanacetum cinerariifolium","1","1","1","19","16","25","5"
"Amaranthus cruentus","1","28","42","22","30","131","35"
"Amaranthus hypochondriacus","1","28","42","22","30","131","35"
"Ruta","1","10","10","17","13","38","18"
"Cassia coluteoides","1","4","8","16","8","30","4"
"Methanosarcina mazei","1","8","11","19","21","51","18"
"Avena ventricosa","1","27","27","3","2","56","18"
"Danio rerio","1","1","2","10","6","15","9"
"Taxus baccata","1","4","5","33","49","85","11"
"Actinidia deliciosa","1","5","5","20","14","36","9"
"Lemna aequinoctialis","1","9","12","15","14","49","12"
"Aquilegia vulgaris","1","16","23","33","38","110","11"
"Cistus creticus","1","2","2","10","10","18","9"
"Gentiana straminea","1","23","23","8","11","69","21"
"Aspergillus terricola","1","1","5","23","9","34","9"
"Lacticaseibacillus casei","1","0","1","13","4","16","12"
"Derris elliptica","1","0","1","15","14","23","9"
"Nyctaginaceae","1","0","2","13","9","17","4"
"Bifidobacterium longum","1","0","1","13","4","16","12"
"Coffea eugenioides","1","0","0","10","12","21","3"
"Triticum urartu","1","2","4","27","28","48","12"
"Allium aflatunense","1","2","3","17","14","25","17"
"Allium altaicum","1","2","3","17","14","25","17"
"Physaria lindheimeri","1","1","1","9","9","17","6"
"Physaria","1","1","1","9","9","17","6"
"Allium schoenoprasum","1","2","3","17","14","25","17"
"Sophora flavescens","1","2","4","9","8","19","8"
"Vernonia","1","2","3","5","3","11","4"
"Allium chinense","1","2","3","17","14","25","17"
"Archaea","1","3","4","7","5","14","9"
"Mentha x gracilis","1","16","17","7","8","45","15"
"Crepis palaestina","1","2","3","5","3","11","4"
"Aegilops tauschii","1","2","4","27","28","48","12"
"Dalbergia nigrescens","1","1","1","6","6","11","5"
"Gypsophila vaccaria","1","1","1","12","10","19","3"
"Synechocystis","1","10","12","21","21","56","20"
"Populus tremula x Populus alba","1","2","2","13","3","19","7"
"Prunus dulcis","1","5","5","15","22","43","6"
"Dimorphotheca sinuata","1","3","3","11","8","20","6"
"Allium ascalonicum","1","2","3","17","14","25","17"
"Chlamydia trachomatis","1","1","6","21","22","50","13"
"Tagetes erecta","1","51","59","32","27","174","25"
"Vibrio furnissii","1","3","3","10","11","23","18"
